model_1,model_2,ALL_KL,ALL_JSD,ALL_MSE,AGREE_PCT,AGREE_KL,AGREE_JSD,AGREE_MSE,DISAGREE_PCT,DISAGREE_KL,DISAGREE_JSD,DISAGREE_MSE
davinci,lstm,0.8575032,0.4829787919537701,0.17070374555590204,0.54,0.56093895,0.41126981432268456,0.09754148614829845,0.46,1.2119334,0.5686797652201893,0.2581415677747454
davinci,random,0.96848834,0.521840517618817,0.19372446278028818,0.36,0.96199787,0.5197215051110123,0.19291718730129448,0.64,0.9720692,0.5230096279679506,0.19416985614800877
davinci,roberta,1.7757062,0.38354874556611246,0.22390441798564722,0.6,0.30382136,0.16305054408681768,0.02255914264175608,0.4,3.9835331,0.7142960477850546,0.5259223310014839
davinci,tfidf,1.0719883,0.48609222683082404,0.20894349436334494,0.47,0.44550124,0.3510957009021425,0.07800058734448405,0.53,1.6201645,0.6042141870184204,0.32351853800484814
davinci,human,0.64856946,0.36985154268735787,0.13493700917873058,0.67,0.32000723,0.28283794997154615,0.052171323288496545,0.33,1.3056939,0.5438787281189812,0.30046838095919864
lstm,davinci,3.7128096,0.4829787919537701,0.17070374555590204,0.54,2.9661343,0.41126981432268456,0.09754148614829845,0.46,4.605178,0.5686797652201893,0.2581415677747454
lstm,random,0.08760002,0.13154288925815438,0.01835489024988088,0.36,0.095777646,0.1394220401795505,0.020356821237631658,0.64,0.083088234,0.12719577150841854,0.017250376601466662
lstm,roberta,1.6282405,0.39440044211644393,0.10101048119034461,0.8,1.6489129,0.3874378894540435,0.09003990693998094,0.2,1.545551,0.42225065276604545,0.14489277819179933
lstm,tfidf,0.26501277,0.1994169294571692,0.043797178613239764,0.59,0.18516853,0.15259931398240015,0.02240562660111403,0.41,0.37938428,0.266480000272379,0.07443913149547395
lstm,human,0.537778,0.28739833424049616,0.056185351005935434,0.74,0.5219431,0.2762632648550656,0.047855751134148417,0.26,0.5839059,0.31983527549370694,0.08044983758896722
random,davinci,4.3160024,0.521840517618817,0.19372446278028818,0.36,4.2939177,0.5197215051110123,0.19291718730129448,0.64,4.328187,0.5230096279679506,0.19416985614800877
random,lstm,0.064682096,0.13154288925815438,0.01835489024988088,0.36,0.072350144,0.1394220401795505,0.020356821237631658,0.64,0.06045145,0.12719577150841854,0.017250376601466662
random,roberta,2.489099,0.49069145283682797,0.17959191147387918,0.39,2.4707162,0.48866647915909933,0.17667426417387247,0.61,2.5007968,0.49198007244992786,0.18144859611933795
random,tfidf,0.34808844,0.2323020283412316,0.05637057819274377,0.42,0.37837973,0.24453638033839586,0.06205931490186369,0.58,0.3259525,0.22336154034330383,0.0522134244437715
random,human,0.8796157,0.3645139287369895,0.10144173361358792,0.34,0.93606013,0.38051335364073974,0.11280498373025205,0.66,0.84995854,0.3561074512451886,0.0954712123658491
roberta,davinci,2.6590958,0.38354874556611246,0.22390441798564722,0.6,0.45073503,0.16305054408681768,0.02255914264175608,0.4,5.9716372,0.7142960477850546,0.5259223310014839
roberta,lstm,0.5403364,0.39440044211644393,0.10101048119034461,0.8,0.5022009,0.3874378894540435,0.09003990693998094,0.2,0.69287825,0.42225065276604545,0.14489277819179933
roberta,random,0.88053334,0.49069145283682797,0.17959191147387918,0.39,0.8715287,0.48866647915909933,0.17667426417387247,0.61,0.8862638,0.49198007244992786,0.18144859611933795
roberta,tfidf,0.72615033,0.41026245550397444,0.1503468441756964,0.58,0.37472898,0.3131966281391806,0.06592880787349674,0.42,1.2070429,0.543089377161061,0.2658662622734433
roberta,human,0.33530626,0.2568343968866711,0.07165709239101153,0.76,0.19449158,0.20181941247171975,0.03381753619001204,0.24,0.7705516,0.4268807123510662,0.18861572064864632
tfidf,davinci,3.9390337,0.48609222683082404,0.20894349436334494,0.47,2.313992,0.3510957009021425,0.07800058734448405,0.53,5.360945,0.6042141870184204,0.32351853800484814
tfidf,lstm,0.20457552,0.1994169294571692,0.043797178613239764,0.59,0.11957384,0.15259931398240015,0.02240562660111403,0.41,0.3263347,0.266480000272379,0.07443913149547395
tfidf,random,0.26837802,0.2323020283412316,0.05637057819274377,0.42,0.29384592,0.24453638033839586,0.06205931490186369,0.58,0.24976686,0.22336154034330383,0.0522134244437715
tfidf,roberta,1.9221882,0.41026245550397444,0.1503468441756964,0.58,1.1924232,0.3131966281391806,0.06592880787349674,0.42,2.920814,0.543089377161061,0.2658662622734433
tfidf,human,0.8364917,0.3440883930120984,0.10681180279079072,0.48,0.44621867,0.2494689808665778,0.044858534586280946,0.52,1.19355,0.43065508923034057,0.16349245242470398
human,davinci,2.1945775,0.36985154268735787,0.13493700917873058,0.67,1.4297634,0.28283794997154615,0.052171323288496545,0.33,3.724206,0.5438787281189812,0.30046838095919864
human,lstm,0.3067566,0.28739833424049616,0.056185351005935434,0.74,0.27189857,0.2762632648550656,0.047855751134148417,0.26,0.40829962,0.31983527549370694,0.08044983758896722
human,random,0.50868964,0.3645139287369895,0.10144173361358792,0.34,0.55405605,0.38051335364073974,0.11280498373025205,0.66,0.4848531,0.3561074512451886,0.0954712123658491
human,roberta,0.8840201,0.2568343968866711,0.07165709239101153,0.76,0.60264593,0.20181941247171975,0.03381753619001204,0.24,1.7537214,0.4268807123510662,0.18861572064864632
human,tfidf,0.5613218,0.3440883930120984,0.10681180279079072,0.48,0.2828159,0.2494689808665778,0.044858534586280946,0.52,0.8161251,0.43065508923034057,0.16349245242470398
