model_1,model_2,ALL_KL,ALL_JSD,ALL_MSE,AGREE_PCT,AGREE_KL,AGREE_JSD,AGREE_MSE,DISAGREE_PCT,DISAGREE_KL,DISAGREE_JSD,DISAGREE_MSE
random,tfidf,0.36883467,0.22985581285277967,0.05659203302512424,0.38,0.36882058,0.23119374089310107,0.05843740411465683,0.62,0.36884338,0.22903579244096975,0.05546099913153974
random,lstm,0.06264045,0.12973705685818562,0.01785346263256643,0.32,0.08194602,0.1492343378010096,0.022870325594815555,0.68,0.053555474,0.12056186582626846,0.015492585944449194
random,roberta,2.5728498,0.4903213547945407,0.17922263764933644,0.36,2.7413886,0.5033187005100977,0.18553047621659347,0.64,2.4780464,0.4830103478295399,0.17567447845525433
random,davinci,4.1309323,0.5180089184754482,0.19152698556674486,0.34,4.027369,0.513516595392759,0.18867539008810694,0.66,4.1842833,0.5203231455180456,0.19299598929816442
random,human,0.88871145,0.3628630800571632,0.09940183884757126,0.3,1.0296797,0.39578774163844066,0.12161801648305663,0.7,0.8282966,0.3487525108080442,0.08988061986093467
tfidf,random,0.27174637,0.22985581285277967,0.05659203302512424,0.38,0.27909476,0.23119374089310107,0.05843740411465683,0.62,0.26724252,0.22903579244096975,0.05546099913153974
tfidf,lstm,0.21546893,0.20734561308750585,0.04596515060532342,0.58,0.12773523,0.16020429572731007,0.023628523095293435,0.42,0.336625,0.27244552753730006,0.07681096954774577
tfidf,roberta,2.1095345,0.42087762553706115,0.1613836109987609,0.54,1.2358016,0.3075746108721237,0.06710291039500856,0.46,3.1352215,0.55388551231764,0.2720609551857746
tfidf,davinci,3.9340127,0.49624256951667073,0.22148043970858425,0.42,2.2179015,0.34145590398680825,0.08140436448671888,0.58,5.176715,0.6083294652451919,0.3229148390071765
tfidf,human,0.8590538,0.3454989924150874,0.10691374739175137,0.46,0.443319,0.24809852923888,0.04841395364142736,0.54,1.2131983,0.42846975734296777,0.1567469050309163
lstm,random,0.08550164,0.12973705685818562,0.01785346263256643,0.32,0.10601455,0.1492343378010096,0.022870325594815555,0.68,0.075848505,0.12056186582626846,0.015492585944449194
lstm,tfidf,0.28914267,0.20734561308750585,0.04596515060532342,0.58,0.20846874,0.16020429572731007,0.023628523095293435,0.42,0.40054953,0.27244552753730006,0.07681096954774577
lstm,roberta,1.6990919,0.39689709502014686,0.10309376532000643,0.8,1.7284758,0.3871128227337256,0.09115105341037605,0.2,1.5815557,0.436034184165832,0.15086461295852813
lstm,davinci,3.8115976,0.5026924991718839,0.19328917128577539,0.44,2.8797019,0.4109749559518175,0.10054613579518624,0.56,4.5438023,0.5747562831305075,0.2661586991712383
lstm,human,0.5585409,0.2943776673410724,0.05916282455206725,0.7,0.5353336,0.2792092059105302,0.04861783567587408,0.3,0.61269134,0.32977074401233736,0.08376779859651805
roberta,random,0.878304,0.4903213547945407,0.17922263764933644,0.36,0.9139335,0.5033187005100977,0.18553047621659347,0.64,0.8582624,0.4830103478295399,0.17567447845525433
roberta,tfidf,0.78318197,0.42087762553706115,0.1613836109987609,0.54,0.37658474,0.3075746108721237,0.06710291039500856,0.46,1.2604917,0.55388551231764,0.2720609551857746
roberta,lstm,0.5478999,0.39689709502014686,0.10309376532000643,0.8,0.50318307,0.3871128227337256,0.09115105341037605,0.2,0.72676736,0.436034184165832,0.15086461295852813
roberta,davinci,3.5481615,0.4984834473299706,0.31648454286305583,0.46,0.6503328,0.21877692837672963,0.03495250556348304,0.54,6.016682,0.7367519634753239,0.5563081301923215
roberta,human,0.38162327,0.2761437776326642,0.0831934674733298,0.72,0.21627343,0.21228684758647676,0.038912039787761615,0.28,0.8068086,0.4403473120371461,0.197059995807648
davinci,random,0.9563247,0.5180089184754482,0.19152698556674486,0.34,0.94173276,0.513516595392759,0.18867539008810694,0.66,0.96384174,0.5203231455180456,0.19299598929816442
davinci,tfidf,1.1673383,0.49624256951667073,0.22148043970858425,0.42,0.44824168,0.34145590398680825,0.08140436448671888,0.58,1.6880634,0.6083294652451919,0.3229148390071765
davinci,lstm,0.94844496,0.5026924991718839,0.19328917128577539,0.44,0.56802154,0.4109749559518175,0.10054613579518624,0.56,1.247349,0.5747562831305075,0.2661586991712383
davinci,roberta,2.6212804,0.4984834473299706,0.31648454286305583,0.46,0.49810982,0.21877692837672963,0.03495250556348304,0.54,4.429908,0.7367519634753239,0.5563081301923215
davinci,human,0.7805998,0.40232517392020634,0.16323453519848793,0.58,0.34707737,0.2946837757758533,0.059032666148949475,0.42,1.3792734,0.5509728189766937,0.3071323543621363
human,random,0.50310624,0.3628630800571632,0.09940183884757126,0.3,0.59539235,0.39578774163844066,0.12161801648305663,0.7,0.4635551,0.3487525108080442,0.08988061986093467
human,tfidf,0.58391225,0.3454989924150874,0.10691374739175137,0.46,0.30669665,0.24809852923888,0.04841395364142736,0.54,0.8200589,0.42846975734296777,0.1567469050309163
human,lstm,0.32151258,0.2943776673410724,0.05916282455206725,0.7,0.27764335,0.2792092059105302,0.04861783567587408,0.3,0.42387408,0.32977074401233736,0.08376779859651805
human,roberta,1.0295744,0.2761437776326642,0.0831934674733298,0.72,0.6803686,0.21228684758647676,0.038912039787761615,0.28,1.9275318,0.4403473120371461,0.197059995807648
human,davinci,2.3608568,0.40232517392020634,0.16323453519848793,0.58,1.4067748,0.2946837757758533,0.059032666148949475,0.42,3.6783986,0.5509728189766937,0.3071323543621363
