model_1,model_2,contradiction_KL,contradiction_JSD,contradiction_MSE,neutral_KL,neutral_JSD,neutral_MSE,entailment_KL,entailment_JSD,entailment_MSE
davinci,lstm,0.8575032,0.4829787919537701,0.17070374555590204,0.8575032,0.4829787919537701,0.17070374555590204,0.8575032,0.4829787919537701,0.17070374555590204
davinci,random,0.96848834,0.521840517618817,0.19372446278028818,0.96848834,0.521840517618817,0.19372446278028818,0.96848834,0.521840517618817,0.19372446278028818
davinci,roberta,1.7757062,0.38354874556611246,0.22390441798564722,1.7757062,0.38354874556611246,0.22390441798564722,1.7757062,0.38354874556611246,0.22390441798564722
davinci,tfidf,1.0719883,0.48609222683082404,0.20894349436334494,1.0719883,0.48609222683082404,0.20894349436334494,1.0719883,0.48609222683082404,0.20894349436334494
davinci,human,0.64856946,0.36985154268735787,0.13493700917873058,0.64856946,0.36985154268735787,0.13493700917873058,0.64856946,0.36985154268735787,0.13493700917873058
lstm,davinci,3.7128096,0.4829787919537701,0.17070374555590204,3.7128096,0.4829787919537701,0.17070374555590204,3.7128096,0.4829787919537701,0.17070374555590204
lstm,random,0.08760002,0.13154288925815438,0.01835489024988088,0.08760002,0.13154288925815438,0.01835489024988088,0.08760002,0.13154288925815438,0.01835489024988088
lstm,roberta,1.6282405,0.39440044211644393,0.10101048119034461,1.6282405,0.39440044211644393,0.10101048119034461,1.6282405,0.39440044211644393,0.10101048119034461
lstm,tfidf,0.26501277,0.1994169294571692,0.043797178613239764,0.26501277,0.1994169294571692,0.043797178613239764,0.26501277,0.1994169294571692,0.043797178613239764
lstm,human,0.537778,0.28739833424049616,0.056185351005935434,0.537778,0.28739833424049616,0.056185351005935434,0.537778,0.28739833424049616,0.056185351005935434
random,davinci,4.3160024,0.521840517618817,0.19372446278028818,4.3160024,0.521840517618817,0.19372446278028818,4.3160024,0.521840517618817,0.19372446278028818
random,lstm,0.064682096,0.13154288925815438,0.01835489024988088,0.064682096,0.13154288925815438,0.01835489024988088,0.064682096,0.13154288925815438,0.01835489024988088
random,roberta,2.489099,0.49069145283682797,0.17959191147387918,2.489099,0.49069145283682797,0.17959191147387918,2.489099,0.49069145283682797,0.17959191147387918
random,tfidf,0.34808844,0.2323020283412316,0.05637057819274377,0.34808844,0.2323020283412316,0.05637057819274377,0.34808844,0.2323020283412316,0.05637057819274377
random,human,0.8796157,0.3645139287369895,0.10144173361358792,0.8796157,0.3645139287369895,0.10144173361358792,0.8796157,0.3645139287369895,0.10144173361358792
roberta,davinci,2.6590958,0.38354874556611246,0.22390441798564722,2.6590958,0.38354874556611246,0.22390441798564722,2.6590958,0.38354874556611246,0.22390441798564722
roberta,lstm,0.5403364,0.39440044211644393,0.10101048119034461,0.5403364,0.39440044211644393,0.10101048119034461,0.5403364,0.39440044211644393,0.10101048119034461
roberta,random,0.88053334,0.49069145283682797,0.17959191147387918,0.88053334,0.49069145283682797,0.17959191147387918,0.88053334,0.49069145283682797,0.17959191147387918
roberta,tfidf,0.72615033,0.41026245550397444,0.1503468441756964,0.72615033,0.41026245550397444,0.1503468441756964,0.72615033,0.41026245550397444,0.1503468441756964
roberta,human,0.33530626,0.2568343968866711,0.07165709239101153,0.33530626,0.2568343968866711,0.07165709239101153,0.33530626,0.2568343968866711,0.07165709239101153
tfidf,davinci,3.9390337,0.48609222683082404,0.20894349436334494,3.9390337,0.48609222683082404,0.20894349436334494,3.9390337,0.48609222683082404,0.20894349436334494
tfidf,lstm,0.20457552,0.1994169294571692,0.043797178613239764,0.20457552,0.1994169294571692,0.043797178613239764,0.20457552,0.1994169294571692,0.043797178613239764
tfidf,random,0.26837802,0.2323020283412316,0.05637057819274377,0.26837802,0.2323020283412316,0.05637057819274377,0.26837802,0.2323020283412316,0.05637057819274377
tfidf,roberta,1.9221882,0.41026245550397444,0.1503468441756964,1.9221882,0.41026245550397444,0.1503468441756964,1.9221882,0.41026245550397444,0.1503468441756964
tfidf,human,0.8364917,0.3440883930120984,0.10681180279079072,0.8364917,0.3440883930120984,0.10681180279079072,0.8364917,0.3440883930120984,0.10681180279079072
human,davinci,2.1945775,0.36985154268735787,0.13493700917873058,2.1945775,0.36985154268735787,0.13493700917873058,2.1945775,0.36985154268735787,0.13493700917873058
human,lstm,0.3067566,0.28739833424049616,0.056185351005935434,0.3067566,0.28739833424049616,0.056185351005935434,0.3067566,0.28739833424049616,0.056185351005935434
human,random,0.50868964,0.3645139287369895,0.10144173361358792,0.50868964,0.3645139287369895,0.10144173361358792,0.50868964,0.3645139287369895,0.10144173361358792
human,roberta,0.8840201,0.2568343968866711,0.07165709239101153,0.8840201,0.2568343968866711,0.07165709239101153,0.8840201,0.2568343968866711,0.07165709239101153
human,tfidf,0.5613218,0.3440883930120984,0.10681180279079072,0.5613218,0.3440883930120984,0.10681180279079072,0.5613218,0.3440883930120984,0.10681180279079072
