model_1,model_2,contradiction_KL,contradiction_JSD,contradiction_MSE,neutral_KL,neutral_JSD,neutral_MSE,entailment_KL,entailment_JSD,entailment_MSE
random,tfidf,0.36883467,0.22985581285277967,0.05659203302512424,0.36883467,0.22985581285277967,0.05659203302512424,0.36883467,0.22985581285277967,0.05659203302512424
random,lstm,0.06264045,0.12973705685818562,0.01785346263256643,0.06264045,0.12973705685818562,0.01785346263256643,0.06264045,0.12973705685818562,0.01785346263256643
random,roberta,2.5728498,0.4903213547945407,0.17922263764933644,2.5728498,0.4903213547945407,0.17922263764933644,2.5728498,0.4903213547945407,0.17922263764933644
random,davinci,4.1309323,0.5180089184754482,0.19152698556674486,4.1309323,0.5180089184754482,0.19152698556674486,4.1309323,0.5180089184754482,0.19152698556674486
random,human,0.88871145,0.3628630800571632,0.09940183884757126,0.88871145,0.3628630800571632,0.09940183884757126,0.88871145,0.3628630800571632,0.09940183884757126
tfidf,random,0.27174637,0.22985581285277967,0.05659203302512424,0.27174637,0.22985581285277967,0.05659203302512424,0.27174637,0.22985581285277967,0.05659203302512424
tfidf,lstm,0.21546893,0.20734561308750585,0.04596515060532342,0.21546893,0.20734561308750585,0.04596515060532342,0.21546893,0.20734561308750585,0.04596515060532342
tfidf,roberta,2.1095345,0.42087762553706115,0.1613836109987609,2.1095345,0.42087762553706115,0.1613836109987609,2.1095345,0.42087762553706115,0.1613836109987609
tfidf,davinci,3.9340127,0.49624256951667073,0.22148043970858425,3.9340127,0.49624256951667073,0.22148043970858425,3.9340127,0.49624256951667073,0.22148043970858425
tfidf,human,0.8590538,0.3454989924150874,0.10691374739175137,0.8590538,0.3454989924150874,0.10691374739175137,0.8590538,0.3454989924150874,0.10691374739175137
lstm,random,0.08550164,0.12973705685818562,0.01785346263256643,0.08550164,0.12973705685818562,0.01785346263256643,0.08550164,0.12973705685818562,0.01785346263256643
lstm,tfidf,0.28914267,0.20734561308750585,0.04596515060532342,0.28914267,0.20734561308750585,0.04596515060532342,0.28914267,0.20734561308750585,0.04596515060532342
lstm,roberta,1.6990919,0.39689709502014686,0.10309376532000643,1.6990919,0.39689709502014686,0.10309376532000643,1.6990919,0.39689709502014686,0.10309376532000643
lstm,davinci,3.8115976,0.5026924991718839,0.19328917128577539,3.8115976,0.5026924991718839,0.19328917128577539,3.8115976,0.5026924991718839,0.19328917128577539
lstm,human,0.5585409,0.2943776673410724,0.05916282455206725,0.5585409,0.2943776673410724,0.05916282455206725,0.5585409,0.2943776673410724,0.05916282455206725
roberta,random,0.878304,0.4903213547945407,0.17922263764933644,0.878304,0.4903213547945407,0.17922263764933644,0.878304,0.4903213547945407,0.17922263764933644
roberta,tfidf,0.78318197,0.42087762553706115,0.1613836109987609,0.78318197,0.42087762553706115,0.1613836109987609,0.78318197,0.42087762553706115,0.1613836109987609
roberta,lstm,0.5478999,0.39689709502014686,0.10309376532000643,0.5478999,0.39689709502014686,0.10309376532000643,0.5478999,0.39689709502014686,0.10309376532000643
roberta,davinci,3.5481615,0.4984834473299706,0.31648454286305583,3.5481615,0.4984834473299706,0.31648454286305583,3.5481615,0.4984834473299706,0.31648454286305583
roberta,human,0.38162327,0.2761437776326642,0.0831934674733298,0.38162327,0.2761437776326642,0.0831934674733298,0.38162327,0.2761437776326642,0.0831934674733298
davinci,random,0.9563247,0.5180089184754482,0.19152698556674486,0.9563247,0.5180089184754482,0.19152698556674486,0.9563247,0.5180089184754482,0.19152698556674486
davinci,tfidf,1.1673383,0.49624256951667073,0.22148043970858425,1.1673383,0.49624256951667073,0.22148043970858425,1.1673383,0.49624256951667073,0.22148043970858425
davinci,lstm,0.94844496,0.5026924991718839,0.19328917128577539,0.94844496,0.5026924991718839,0.19328917128577539,0.94844496,0.5026924991718839,0.19328917128577539
davinci,roberta,2.6212804,0.4984834473299706,0.31648454286305583,2.6212804,0.4984834473299706,0.31648454286305583,2.6212804,0.4984834473299706,0.31648454286305583
davinci,human,0.7805998,0.40232517392020634,0.16323453519848793,0.7805998,0.40232517392020634,0.16323453519848793,0.7805998,0.40232517392020634,0.16323453519848793
human,random,0.50310624,0.3628630800571632,0.09940183884757126,0.50310624,0.3628630800571632,0.09940183884757126,0.50310624,0.3628630800571632,0.09940183884757126
human,tfidf,0.58391225,0.3454989924150874,0.10691374739175137,0.58391225,0.3454989924150874,0.10691374739175137,0.58391225,0.3454989924150874,0.10691374739175137
human,lstm,0.32151258,0.2943776673410724,0.05916282455206725,0.32151258,0.2943776673410724,0.05916282455206725,0.32151258,0.2943776673410724,0.05916282455206725
human,roberta,1.0295744,0.2761437776326642,0.0831934674733298,1.0295744,0.2761437776326642,0.0831934674733298,1.0295744,0.2761437776326642,0.0831934674733298
human,davinci,2.3608568,0.40232517392020634,0.16323453519848793,2.3608568,0.40232517392020634,0.16323453519848793,2.3608568,0.40232517392020634,0.16323453519848793
